Date_and_Time,DPV_res_MW,DPV_non_res_MW,CF,DPV_res_MWh,DPV_non_res_MWh
2019-05-24 08:00:00+00:00,0.0321700281474193,0.0210842092755376,0.0,0.0,0.0
2019-05-24 09:00:00+00:00,0.0321709888912903,0.0210842543455645,0.0,0.0,0.0
2019-05-24 10:00:00+00:00,0.0321719496351612,0.0210842994155914,0.0,0.0,0.0
2019-05-24 11:00:00+00:00,0.0321729103790322,0.0210843444856182,0.052592656793123,0.0016920588336003,0.00110888169324
2019-05-24 12:00:00+00:00,0.0321738711229032,0.0210843895556451,0.1677049017720025,0.0053957158962915,0.003535955479352
2019-05-24 13:00:00+00:00,0.0321748318667741,0.021084434625672,0.3590880551012234,0.0115535977982487,0.0075711686226414
2019-05-24 14:00:00+00:00,0.0321757926106451,0.0210844796956989,0.4902790231310929,0.0157751161696157,0.0103372781084346
2019-05-24 15:00:00+00:00,0.0321767533545161,0.0210845247657258,0.4394384536913445,0.0141397027389163,0.0092653509598674
2019-05-24 16:00:00+00:00,0.0321777140983871,0.0210845698357526,0.6161277916903168,0.0198255839290816,0.0129907894516425
2019-05-24 17:00:00+00:00,0.032178674842258,0.0210846149057795,0.6655193972836383,0.0214155322864057,0.0140322202040519
2019-05-24 18:00:00+00:00,0.032179635586129,0.0210846599758064,0.6873865783035028,0.0221198495966028,0.0144933122754623
2019-05-24 19:00:00+00:00,0.03218059633,0.0210847050458333,0.7140544422870675,0.0229786977648834,0.0150556273022898
2019-05-24 20:00:00+00:00,0.0321815570738709,0.0210847501158602,0.6461859965374125,0.0207952715279048,0.0136246702653594
2019-05-24 21:00:00+00:00,0.0321825178177419,0.021084795185887,0.5032879759923453,0.0161970742548289,0.0106117238933182
2019-05-24 22:00:00+00:00,0.0321834785616129,0.0210848402559139,0.3193587169210088,0.0102780744194914,0.006733627530613
2019-05-24 23:00:00+00:00,0.0321844393054838,0.0210848853259408,0.1235065364431215,0.0039749886259841,0.0026041211579073
2019-05-25 00:00:00+00:00,0.0321854000493548,0.0210849303959677,0.0043226889316142,0.0001391274725529,9.114359524650622e-05
2019-05-25 01:00:00+00:00,0.0321863607932258,0.0210849754659946,0.0,0.0,0.0
2019-05-25 02:00:00+00:00,0.0321873215370967,0.0210850205360215,0.0,0.0,0.0
2019-05-25 03:00:00+00:00,0.0321882822809677,0.0210850656060483,0.0,0.0,0.0
2019-05-25 04:00:00+00:00,0.0321892430248387,0.0210851106760752,0.0,0.0,0.0
2019-05-25 05:00:00+00:00,0.0321902037687096,0.0210851557461021,0.0,0.0,0.0
2019-05-25 06:00:00+00:00,0.0321911645125806,0.021085200816129,0.0,0.0,0.0
2019-05-25 07:00:00+00:00,0.0321921252564516,0.0210852458861559,0.0,0.0,0.0
2019-05-25 08:00:00+00:00,0.0321930860003225,0.0210852909561828,0.0,0.0,0.0
2019-05-25 09:00:00+00:00,0.0321940467441935,0.0210853360262096,0.0,0.0,0.0
2019-05-25 10:00:00+00:00,0.0321950074880645,0.0210853810962365,0.0,0.0,0.0
